Control ID,Sorting ID,Category,Title,Body,Risk Level 1,Risk Level 2,Risk Level 3,Data Location 1,Data Location 2,Data Location 3,Data Location 4,Role 1,Role 2,Role 3,Frequency,Time estimate,IT Service Provider,Task type,Service or Tool Title,Service or Tool URL,Knowledge Title,Knowledge URL,Path
AC.2.10,1,Access Control,Limit access,Information is accessible only for authorized purposes and shared only with those authorized to receive it.,Medium Risk,High Risk,,Application,Endpoint,Media,Server,User,System Administrator,,Ongoing,,,Procedural,"Encryption, Touchstone Authentication","https://ist.mit.edu/encryption, https://ist.mit.edu/touchstone",Secure Access and Information Sharing Landing Page,https://kb.mit.edu/confluence/x/DBJxCQ,
AC.2.20,2,Access Control,Review user access,Review which user accounts have access to information at this level regularly - at least annually.,Medium Risk,High Risk,,Application,Endpoint,Media,Server,Data Owner,System Administrator,,Ongoing,,,Procedural,,,Secure Access and Information Sharing Landing Page,https://kb.mit.edu/confluence/x/DBJxCQ,
AC.2.30,3,Access Control,Revoke permissions,"Revoke permissions when a user no longer needs access to information (e.g., upon project completion or job change).",Medium Risk,High Risk,,Application,Endpoint,Media,Server,Data Owner,System Administrator,,Ongoing,,,Procedural,,,Secure Access and Information Sharing Landing Page,https://kb.mit.edu/confluence/x/DBJxCQ,
AC.2.40,4,Access Control,Least Privilege,Use separate accounts for user and administrative permissions.,Medium Risk,High Risk,,Application,Endpoint,Server,,User,System Administrator,,One time,10 minutes,,Technical,,,Setup Separate User and Admin Privileged Accounts Landing Page,https://kb.mit.edu/confluence/x/GhJxCQ,
AC.1.50,5,Access Control,Host based firewall,Enable your operating system's firewall.,Low Risk,Medium Risk,High Risk,Endpoint,Server,,,User,System Administrator,,One time,5 minutes,,Procedural,,,Firewalls Landing Page,https://kb.mit.edu/confluence/x/LBJxCQ,
AC.2.60,6,Access Control,Screen lock,Enable a screen lock that requires a password to unlock after 15 minutes of inactivity.,Medium Risk,High Risk,,Endpoint,,,,User,System Administrator,,One time,5 minutes,,Technical,,,Startup and Screen Lock Passwords Landing Page,https://kb.mit.edu/confluence/x/ERJxCQ,
AM.2.10,1,Asset and Information Management,Data inventory,"Create and maintain an information inventory that includes classification level, information owner, and users with access.",Medium Risk,High Risk,,Application,Endpoint,Media,Server,Data Owner,,,Ongoing,,,Procedural,,,"Data, Application, and Authorization Inventory Landing Page",https://kb.mit.edu/confluence/x/JBJxCQ,
AM.3.20,2,Asset and Information Management,System inventory,"Create and maintain an inventory of systems that includes device ownership, contact information, and network configuration.",High Risk,,,Endpoint,Media,Server,,System Administrator,,,Ongoing,,,,,,"Data, Application, and Authorization Inventory Landing Page",https://kb.mit.edu/confluence/x/JBJxCQ,
AM.3.30,3,Asset and Information Management,Application inventory,"Create and maintain an application inventory that includes assigned risk classification level, data volume, and users with access.",High Risk,,,Application,,,,Data Owner,User,System Administrator,Ongoing,,,,,,"Data, Application, and Authorization Inventory Landing Page",https://kb.mit.edu/confluence/x/JBJxCQ,
AW.3.10,1,Awareness and Training,Security responsibilities training,Train all users with access to ensure understanding of their responsibilities with regard to handling information.,High Risk,,,Endpoint,Server,Media,Application,Data Owner,System Administrator,,Ongoing,,,Technical,,,Security Training Landing Page,https://kb.mit.edu/confluence/x/IBJxCQ,
AW.3.20,2,Awareness and Training,Security awareness training,Train all users with access to ensure awareness of the risks to information and data,High Risk,,,Endpoint,Server,Media,Application,Data Owner,System Administrator,,Ongoing,,,Technical,,,Security Training Landing Page,https://kb.mit.edu/confluence/x/IBJxCQ,
CM.1.10,1,Configuration and Vulnerability Management,Vendor-supported applications,Use vendor supported applications and operating systems.,Low Risk,Medium Risk,High Risk,Application,Endpoint,Server,,User,System Administrator,,Ongoing,,,,Software Patches and OS Updates,https://ist.mit.edu/patches-os-updates,Automatic Updates and Patching Landing Page,https://kb.mit.edu/confluence/x/NhJxCQ,
CM.1.20,2,Configuration and Vulnerability Management,Automatic software updates,Configure automatic download and application of software and operating system updates.,Low Risk,Medium Risk,High Risk,Application,Endpoint,Server,,User,System Administrator,,Ongoing,,,,Software Patches and OS Updates,https://ist.mit.edu/patches-os-updates,Automatic Updates and Patching Landing Page,https://kb.mit.edu/confluence/x/NhJxCQ,
CM.1.30,3,Configuration and Vulnerability Management,Patch notification,Stay informed of available patches for your operating system and applications.,Low Risk,Medium Risk,High Risk,Server,Endpoint,Application,,System Administrator,,,One time,5 minutes,,Technical,"Software Patches and OS Updates, RHN: Red Hat Network for Linux, WAUS: MIT Windows Automatic Update Service","https://ist.mit.edu/patches-os-updates, https://ist.mit.edu/linux/rhn, https://ist.mit.edu/waus",Automatic Updates and Patching,https://kb.mit.edu/confluence/x/NhJxCQ,
CM.1.40,4,Configuration and Vulnerability Management,Endpoint Management,"Where applicable, use endpoint management tools to ensure the tasks for this level are completed on your devices.",Low Risk,Medium Risk,High Risk,Endpoint,,,,System Administrator,,,Ongoing,,,Technical,"Casper, Casper Software Center, Microsoft SCCM, SCCM Software Center","https://ist.mit.edu/casper, https://ist.mit.edu/casper/software, https://ist.mit.edu/sccm, https://ist.mit.edu/sccm/software",System Administrator Security Preventative Measures Landing Page,https://kb.mit.edu/confluence/x/HBJxCQ,
CM.2.50,5,Configuration and Vulnerability Management,Vulnerability scans,Perform regular network vulnerability scans. Contact your departmental IT administrator or security@mit.edu for assistance.,Medium Risk,High Risk,,Application,Server,,,System Administrator,,,Ongoing,,,Technical,,,System Administrator Security Preventative Measures Landing Page,https://kb.mit.edu/confluence/x/HBJxCQ,
CM.2.60,6,Configuration and Vulnerability Management,Centralized logging,Ensure authentication and access logs are sent to a second device.,Medium Risk,High Risk,,Application,Server,,,System Administrator,,,One time,,,Technical,,,Centralized Access Logging Landing Page,https://kb.mit.edu/confluence/x/FhJxCQ,
DM.2.20,2,Data Minimization and Retention,Anonymize information,Anonymize information whenever possible and separate access to identified and de-identified data sets. For physical media store identified information in a separate locked file cabinet.,Medium Risk,High Risk,,Application,Endpoint,Media,Server,User,System Administrator,,Ongoing,,,,,,Data Storage Risk Reduction Landing Page,https://kb.mit.edu/confluence/x/OxJxCQ,
DM.2.40,4,Data Minimization and Retention,Secure destruction,Destroy devices and media that are no longer needed in a way such that no information can be recovered.,Medium Risk,High Risk,,Endpoint,Media,Server,,User,System Administrator,,One time,,,Technical,,,Data Retention and Deletion Landing Page,https://kb.mit.edu/confluence/x/JhJxCQ,
DM.3.10,1,Data Minimization and Retention,Data minimization,Limit the storage and collection of data at this risk level to that which is necessary to accomplish the legitimate purpose for which it is collected.,High Risk,,,Application,Endpoint,Server,Media,Data Owner,User,System Administrator,Ongoing,,,,,,Data Storage Risk Reduction Landing Page,https://kb.mit.edu/confluence/x/OxJxCQ,
